Workout_ID,Member_ID,Workout_Log_ID,Program_type,VR_Environment
1,24,68,Yoga,Rowing
2,57,8,Pilates,Mountain Climbing
3,25,70,HIIT,Mountain Climbing
4,99,43,Strength Training,Surfing
5,75,97,Yoga,Boxing
6,6,9,Cardio,Rowing
7,65,38,Strength Training,Rowing
8,68,83,HIIT,Surfing
9,78,35,Cardio,Mountain Climbing
10,76,83,Pilates,Boxing
11,1,100,Cardio,Surfing
12,39,64,Pilates,Rowing
13,62,53,Pilates,Surfing
14,13,79,Pilates,Mountain Climbing
15,55,46,Pilates,Surfing
16,58,39,Yoga,Mountain Climbing
17,52,48,Yoga,Boxing
18,45,81,Yoga,Mountain Climbing
19,71,53,Yoga,Surfing
20,99,62,Yoga,Mountain Climbing
21,90,71,Yoga,Rowing
22,82,5,Strength Training,Surfing
23,94,49,Pilates,Mountain Climbing
24,39,48,Yoga,Boxing
25,18,43,Cardio,Rowing
26,84,35,Pilates,Surfing
27,62,95,Yoga,Boxing
28,95,60,Yoga,Rowing
29,30,49,HIIT,Surfing
30,4,82,Strength Training,Boxing
