snapshot_date,region,warehouse,sku_id,category,product_name,on_hand_units,reorder_point,monthly_demand_units,inventory_value
2026-06-30,West,Seattle DC,SKU-1001,Electronics,Noise-Canceling Headphones,26,25,39,2455.7
2026-06-30,West,Seattle DC,SKU-1002,Electronics,Smart Home Hub,52,37,57,7147.4
2026-06-30,West,Seattle DC,SKU-1003,Electronics,Portable Charger,94,26,41,5551.64
2026-06-30,West,Seattle DC,SKU-1004,Home,Air Purifier,54,18,28,1281.96
2026-06-30,West,Seattle DC,SKU-1005,Home,Bedding Set,43,24,37,3496.33
2026-06-30,West,Seattle DC,SKU-1006,Home,Kitchen Organizer,70,22,35,3584.7
2026-06-30,West,Seattle DC,SKU-1007,Apparel,Performance Jacket,61,24,37,10488.34
2026-06-30,West,Seattle DC,SKU-1008,Apparel,Running Shoes,51,19,30,3014.61
2026-06-30,West,Seattle DC,SKU-1009,Apparel,Travel Backpack,58,27,43,4720.04
2026-06-30,West,Seattle DC,SKU-1010,Beauty,Skin Care Kit,104,30,47,15000.96
2026-06-30,West,Seattle DC,SKU-1011,Beauty,Hair Dryer,84,29,45,1380.12
2026-06-30,West,Seattle DC,SKU-1012,Beauty,Fragrance Set,63,19,30,4318.02
2026-06-30,West,Los Angeles DC,SKU-1001,Electronics,Noise-Canceling Headphones,15,20,31,1416.75
2026-06-30,West,Los Angeles DC,SKU-1002,Electronics,Smart Home Hub,39,18,28,5360.55
2026-06-30,West,Los Angeles DC,SKU-1003,Electronics,Portable Charger,62,31,48,3661.72
2026-06-30,West,Los Angeles DC,SKU-1004,Home,Air Purifier,65,27,42,1543.1
2026-06-30,West,Los Angeles DC,SKU-1005,Home,Bedding Set,10,15,24,813.1
2026-06-30,West,Los Angeles DC,SKU-1006,Home,Kitchen Organizer,48,37,57,2458.08
2026-06-30,West,Los Angeles DC,SKU-1007,Apparel,Performance Jacket,51,14,23,8768.94
2026-06-30,West,Los Angeles DC,SKU-1008,Apparel,Running Shoes,17,25,39,1004.87
2026-06-30,West,Los Angeles DC,SKU-1009,Apparel,Travel Backpack,32,28,44,2604.16
2026-06-30,West,Los Angeles DC,SKU-1010,Beauty,Skin Care Kit,83,26,40,11971.92
2026-06-30,West,Los Angeles DC,SKU-1011,Beauty,Hair Dryer,10,17,27,164.3
2026-06-30,West,Los Angeles DC,SKU-1012,Beauty,Fragrance Set,36,33,52,2467.44
2026-06-30,West,Denver DC,SKU-1001,Electronics,Noise-Canceling Headphones,61,19,30,5761.45
2026-06-30,West,Denver DC,SKU-1002,Electronics,Smart Home Hub,99,29,45,13607.55
2026-06-30,West,Denver DC,SKU-1003,Electronics,Portable Charger,44,16,26,2598.64
2026-06-30,West,Denver DC,SKU-1004,Home,Air Purifier,41,20,31,973.34
2026-06-30,West,Denver DC,SKU-1005,Home,Bedding Set,103,29,46,8374.93
2026-06-30,West,Denver DC,SKU-1006,Home,Kitchen Organizer,65,27,43,3328.65
2026-06-30,West,Denver DC,SKU-1007,Apparel,Performance Jacket,19,26,41,3266.86
2026-06-30,West,Denver DC,SKU-1008,Apparel,Running Shoes,12,22,35,709.32
2026-06-30,West,Denver DC,SKU-1009,Apparel,Travel Backpack,51,26,40,4150.38
2026-06-30,West,Denver DC,SKU-1010,Beauty,Skin Care Kit,83,41,64,11971.92
2026-06-30,West,Denver DC,SKU-1011,Beauty,Hair Dryer,54,31,49,887.22
2026-06-30,West,Denver DC,SKU-1012,Beauty,Fragrance Set,51,16,25,3495.54
2026-06-30,Central,Dallas DC,SKU-1001,Electronics,Noise-Canceling Headphones,54,24,37,5100.3
2026-06-30,Central,Dallas DC,SKU-1002,Electronics,Smart Home Hub,70,20,31,9621.5
2026-06-30,Central,Dallas DC,SKU-1003,Electronics,Portable Charger,40,14,22,2362.4
2026-06-30,Central,Dallas DC,SKU-1004,Home,Air Purifier,40,28,44,949.6
2026-06-30,Central,Dallas DC,SKU-1005,Home,Bedding Set,42,16,25,3415.02
2026-06-30,Central,Dallas DC,SKU-1006,Home,Kitchen Organizer,20,22,35,1024.2
2026-06-30,Central,Dallas DC,SKU-1007,Apparel,Performance Jacket,36,26,41,6189.84
2026-06-30,Central,Dallas DC,SKU-1008,Apparel,Running Shoes,43,15,24,2541.73
2026-06-30,Central,Dallas DC,SKU-1009,Apparel,Travel Backpack,69,29,45,5615.22
2026-06-30,Central,Dallas DC,SKU-1010,Beauty,Skin Care Kit,26,14,22,3750.24
2026-06-30,Central,Dallas DC,SKU-1011,Beauty,Hair Dryer,22,22,34,361.46
